/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A10_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A11_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A12_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A1_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A2_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A3_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A4_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A5_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A6_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A7_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A8_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/A9_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B10_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B11_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B12_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B1_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B2_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B3_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B4_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B5_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B6_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B7_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B8_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/B9_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C10_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C11_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C12_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C1_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C2_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C3_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C4_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C5_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C6_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C7_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C8_03_1_Bright Field_1_,/mnt/e/Brightfield_paper/Kleb_fig2C/4x/C9_03_1_Bright Field_1_
0.00013649669974920842,0.00010668187114623503,0.00013750639702821087,0.000239804058754746,0.00013389464177663923,0.00022637236918431332,0.00013552261458322728,4.294027693639903e-5,3.0321905574790062e-5,3.11146030840976e-5,1.4699144646646312e-5,0.00013042545444650976,8.417791803925282e-5,0.00015131254014943014,2.4625044915682344e-5,0.00014073445456552644,0.00014070830314704398,0.00038756775382400545,4.5203910161233084e-5,8.635396986263154e-5,1.0276887297116814e-5,5.675263834101182e-5,2.8745925554845158e-5,4.7120547905106616e-5,5.080136372392976e-5,5.369812797530346e-5,0.00042917237165547947,0.00016856753723604293,0.00015714841831479358,0.00024588926824281127,3.626516592397504e-5,0.00017284103202740627,0.0009700772152780301,0.0001994765821046183,0.0005735087955095647,0.0002476687354680054
9.952823732893657e-5,0.00018624955620287983,0.00021167107963980406,0.00021434948831393398,0.00012255539974426814,0.00023893719531824836,0.00010782614356064489,4.0364907751551676e-5,3.9544876695188586e-5,8.190703973248914e-5,3.6115383656056274e-5,0.0001053926412131454,8.103450886276938e-5,0.00021277884021212798,8.615613665326209e-5,0.000151900881970812,0.00010848539499980647,0.00032838005337853,2.454597422268916e-5,6.470777009224654e-5,1.1068371802069614e-5,7.779893062973596e-5,3.550336878799411e-5,5.7995799091940455e-5,0.00013065801870905153,0.00011303834276798607,0.0004748690137951049,0.0001523357022610598,0.00012381049447887727,0.00019413741795075624,3.5063092808978994e-5,0.0001823190875710845,0.0010086501778668576,0.00024899317677516035,0.0005708013228641816,0.00026082326051033534
0.0001691915414549092,0.0003210634846191712,0.0002983922319803731,0.0002024670472525418,0.00011861613929022958,0.00024170476997715796,0.00012330116859596085,5.689939873827249e-5,5.321120355097549e-5,0.00010355988043227623,8.140835057586533e-5,0.00021029902937551428,0.00012596257048884675,0.00038180079582463125,0.00013742990691424135,0.00015100713290785162,0.00010499347089003625,0.00031675467378429,2.8957318530571342e-5,6.455183056536589e-5,1.9363516391152015e-5,0.00010543775904937078,7.972666823422258e-5,0.0001025841371874103,0.00013669495329106114,0.00014799154800313429,0.00046053279656142797,0.0001345548351872832,0.00011889002863464733,0.00018832450107457029,3.349775435402022e-5,0.00018036982875883835,0.001073164524526019,0.0003015225767709209,0.0006007101687144012,0.00031415352787697733
0.00031302202296074446,0.0005513392457072399,0.00045255761489694025,0.00020381487705821137,0.00011896314080642092,0.00021708968493434615,0.00013121453499256652,6.598390642867644e-5,4.631478694356675e-5,0.00043970231357709364,0.00020828401570657413,0.0002577991411470501,0.00029840553155631276,0.0006637400855531799,0.0002541505115407754,0.00015774007830389683,0.00011823746576496608,0.000350284846910827,2.6329484547267803e-5,8.312706925147572e-5,2.320298604739032e-5,0.0003219754916323878,0.00018616494717361333,0.00017680680959185528,0.0003897663762563911,0.0003351774527943049,0.000484554920048039,0.00015526367340565353,0.00012063607370452218,0.00019060182533435944,3.419331221784932e-5,0.0001969948147018179,0.001074138437531573,0.0004495498555857494,0.0006865706749639404,0.0003896811000625203
0.0006481486283626929,0.0012730692524424794,0.0008284388371299116,0.0002043787992694778,0.00012280804085539222,0.00023306923752343758,0.00013420768030970306,5.0462082953837015e-5,6.863636961615315e-5,0.0005080485541187549,0.0002642900310594254,0.0006335157137438884,0.0005672610749194132,0.0010885700898417517,0.00046952600558173934,0.00015263556000783796,0.00011081799870452058,0.0003953262707529923,2.858682976613354e-5,6.875887715143411e-5,6.172752354254577e-5,0.0005518102803273495,0.0003312021411249026,0.0004132505549352999,0.0006927700888911491,0.000534991562488114,0.0007446872048744664,0.0001560853196917663,0.00012545599738828753,0.0001907949726442013,5.150936979513594e-5,0.00020123722242429193,0.0010882806769329481,0.000733620304880715,0.000913855292870783,0.0006304164121641473
0.001283603144973476,0.0016675684349335739,0.0013893074884606912,0.00019639495252917854,0.00012462985434943998,0.00021793240683212826,0.0001415414996200992,5.96804957301836e-5,4.652005432783574e-5,0.0013004840370704767,0.0009032628671181443,0.0010373671467604991,0.0009087386031736591,0.001819430326119503,0.0009449922758495318,0.00014464757301930196,0.00011618120923676357,0.00048608331773228417,3.0047618891353336e-5,7.435993897053335e-5,1.3017782818028721e-5,0.0009730711461711261,0.000603965858264987,0.0007629215572010342,0.0012493137092582044,0.0011243341091016466,0.0011830705037394003,0.00015325813218629598,0.00013185492749754612,0.00021720533326604862,5.806313839372727e-5,0.0002503102338989685,0.0011749302862547662,0.0013023164057018063,0.0012793029826976496,0.0008578246932969255
0.0023283030875372356,0.0032337099575167998,0.002569424465023365,0.00018527243328956303,0.0001222327775384023,0.0002545037274646301,0.00014861795607956418,9.58070810115697e-5,5.384875054084632e-5,0.002042409502399171,0.002144171515148382,0.001587602784760245,0.0017819345523969697,0.003391344900780988,0.0019655920525331882,0.0001365261096620415,0.00012163535989855514,0.0005917488949500804,2.219306911276275e-5,0.00011912647255371871,1.939784550520454e-5,0.0012069333149021262,0.0012744664417185497,0.001197347500498116,0.0022974542567425985,0.002223252426218329,0.0022380436616418536,0.00017018660458530734,0.00015673573915406103,0.0002490917350804595,5.0734224361950045e-5,0.00023142955405561455,0.001225856747713483,0.002214235405832663,0.001793094678173887,0.001798015507658849
0.003725329874324286,0.005403376895737818,0.003969151664059605,0.00019427415723620564,0.0001259783422271124,0.0002548442589753669,0.00014590887780690357,6.527414881969204e-5,8.270293052841422e-5,0.003744359528544413,0.0028819113299588437,0.002803270057791536,0.0032356877326479272,0.005352982204361051,0.0033913504779795375,0.00012633613919390754,0.00012172667190283734,0.0008973973304156225,2.876664881217349e-5,0.00011792336328189005,2.1159982342130144e-5,0.0026615863143472866,0.0020365623545551322,0.0023901232504840468,0.003906713584814922,0.003729217721749438,0.003434985626712632,0.00020578346013731344,0.00017239351011947044,0.00023236891574055082,5.9623695285215634e-5,0.0002551374494632472,0.00125454338714748,0.004363018379939031,0.003148720018945746,0.0029764947488621833
0.0071679750358682945,0.008379413514338414,0.006711766826750286,0.00017995085047832726,0.00010943628429933532,0.00022731912568347464,0.00014411092100940402,5.941157560948958e-5,5.445954360219109e-5,0.005052626905561461,0.0052902774910326255,0.0036076493655271802,0.004620660570659139,0.008644002358516594,0.005809456185072887,0.00011468291682503604,0.0001129768313779556,0.001151738735528989,3.3419081647336054e-5,0.0001182905659783211,1.3100762974188975e-5,0.004371967294502877,0.0034575504024152415,0.003257703484868056,0.005593824696546802,0.006042635840342053,0.005799064984938743,0.00015074551645152579,0.00013464520486421914,0.000229591040955084,4.6673606203894427e-5,0.0002614648387546203,0.0012138095754560178,0.005358924786520599,0.004738181810309383,0.004475986289050629
0.009940992305792146,0.011219852910899303,0.00998141336770208,0.00016871778168221416,0.00010395033506829876,0.00021836658835837106,0.00015691635402679697,6.819460935201693e-5,4.6892918769842003e-5,0.00665241430068197,0.006435782858666672,0.004971077491710558,0.008242146565111208,0.013826859732217589,0.008284940145075047,0.0001105748036471006,0.0001138397455778092,0.001761172825800895,2.515086236722308e-5,0.00013566804876645073,1.862582069935368e-5,0.005442037612079101,0.005101456566213779,0.005736629571702511,0.009140675944336558,0.009568640430522295,0.00964640164405949,0.00013720556708295131,0.00012505782182398246,0.00022223763521509067,5.550160950374477e-5,0.00025746376498415505,0.0012439901078766,0.006976172235652397,0.006886387614766433,0.006070875295272957
